Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company)
ElevenLabs,https://www.crunchbase.com/organization/elevenlabs,,"Artificial Intelligence (AI), Content Creators, Developer APIs, Foundational AI, Generative AI","New York, New York, United States",ElevenLabs develops artificial intelligence software focused on speech synthesis and voice generation.,3
TPG,https://www.crunchbase.com/organization/texas-pacific-group,,"Asset Management, Digital Media, Finance, Financial Services","San Francisco, California, United States","TPG manages alternative assets through several investment platforms including private equity, growth capital, credit, and real estate.",4
CoreWeave,https://www.crunchbase.com/organization/coreweave,,"AI Infrastructure, Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, Information Technology, Machine Learning","Livingston, New Jersey, United States",CoreWeave provides cloud infrastructure services designed to support artificial intelligence and high-performance computing workloads.,5
Harvey,https://www.crunchbase.com/organization/harvey-128b,,"Artificial Intelligence (AI), Information Technology, Legal, Legal Tech","San Francisco, California, United States","Harvey provides AI-driven tools to assist legal professionals with research, document review, and contract analysis.",15
Blue Owl,https://www.crunchbase.com/organization/blue-owl-e2cf,,"Banking, Consumer Lending, Finance, Financial Services, Lending","New York, New York, United States","Blue Owl is an asset management firm offering alternative investment solutions in private credit, GP stakes, and real estate.",17
X-energy,https://www.crunchbase.com/organization/xenergy,,"Clean Energy, CleanTech, Energy, Nuclear, Renewable Energy","Rockville, Maryland, United States",X-energy is a nuclear energy company that develops small modular nuclear reactors and nuclear fuels for clean energy generation.,20
Rocket Lab,https://www.crunchbase.com/organization/rocket-lab,,"Aerospace, Manufacturing, Software, Space Travel","Long Beach, California, United States","Rocket Lab is an aerospace company that provides launch services, spacecraft design, and manufacturing of satellite components.",21
Honor,https://www.crunchbase.com/organization/honor-2,,"Elder Care, Health Care, Home Health Care, Medical","Concord, California, United States",Honor Technology provides aging care solutions and home care services.,24
Tempus,https://www.crunchbase.com/organization/tempus-3,,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Medical, Precision Medicine","Chicago, Illinois, United States",Tempus develops AI-enabled precision medicine technology that supports clinical decision-making and biomedical research.,27
Meta,https://www.crunchbase.com/organization/meta,,"Advertising Platforms, Computer, Digital Media, Foundational AI, Human Resources, Information Technology, Social Media, Social Network, Video Streaming, Virtual Workforce","Menlo Park, California, United States","Meta is a social technology company that enables people to connect, find communities, and grow businesses.",45
Navan,https://www.crunchbase.com/organization/navan,,"Business Travel, Financial Services, Payments, Software","Palo Alto, California, United States","Navan provides travel, expense, and corporate card management to automate manual processes and drive spend visibility.",47
Apollo.io,https://www.crunchbase.com/organization/zenprospect,,"Artificial Intelligence (AI), Lead Generation, Sales, Sales Automation, Software","San Francisco, California, United States","Building the industry’s first fully agentic GTM platform, transforming how revenue teams execute",52
Gemini,https://www.crunchbase.com/organization/gemini-99b2,,"Cryptocurrency, Finance, Financial Services, FinTech, Web3","New York, New York, United States",Gemini is a licensed digital asset exchange and custodian built for both individuals and institutions.,63
Spring Health,https://www.crunchbase.com/organization/spring-care,,"Artificial Intelligence (AI), Health Care, Mental Health, mHealth, Wellness","New York, New York, United States",Spring Health provides mental health solution for employers and health plans.,66
Lambda,https://www.crunchbase.com/organization/lambda-labs,,"AI Infrastructure, Artificial Intelligence (AI), Cloud Computing, Data Center, GPU, Machine Learning","San Jose, California, United States",Lambda is a cloud-based platform that provides high-performance GPU hardware and cloud infrastructure for AI model training and inference.,70
Cyera,https://www.crunchbase.com/organization/cyera,,"Artificial Intelligence (AI), Cloud Data Services, Cyber Security, Network Security","New York, New York, United States",Cyera is an AI-powered data security platform that gives enterprises deep context on their data to assure cyber-resilience and compliance.,72
Harness,https://www.crunchbase.com/organization/harness-512d,,"Artificial Intelligence (AI), Developer Tools, DevOps, Productivity Tools, SaaS","San Francisco, California, United States","Harness provides a software delivery platform that helps engineering teams build, deploy, and operate applications through a set of tools.",80
BlackRock,https://www.crunchbase.com/organization/blackrock,,"Asset Management, Crowdfunding, Financial Services, FinTech, Real Estate Investment","New York, New York, United States","BlackRock is an investment company that offers its services to institutions, intermediaries, foundations, and individual investors.",85
Redwire,https://www.crunchbase.com/organization/redwire-7625,,"Aerospace, Manufacturing, Space Travel, Telecommunications","Jacksonville, Florida, United States","Redwire focuses on space commercialization and aerospace technologies, providing solutions for space infrastructure and operations.",106
Saronic,https://www.crunchbase.com/organization/saronic,,"Artificial Intelligence (AI), Manufacturing, Military","Austin, Texas, United States",Saronic designs and manufactures unmanned surface vehicles for maritime security and domain awareness.,108
Apollo,https://www.crunchbase.com/organization/apollo-global-management-llc,,"Asset Management, Credit, Financial Services, Property Management, Real Estate","New York, New York, United States",Apollo is an asset management firm that focuses on the private investment-grade and fixed-income markets.,110
Grafana Labs,https://www.crunchbase.com/organization/raintank,,"Analytics, Cloud Data Services, Data Visualization, Open Source, Software","New York, New York, United States","Grafana Labs is an open-source software platform built to support monitoring, visualization, and metric analytics.",112
Eli Lilly,https://www.crunchbase.com/organization/eli-lilly,,"Biotechnology, Health Care, Medical, Pharmaceutical","Indianapolis, Indiana, United States","Eli Lilly is a pharma company focused on developing medicines for diabetes, cancer, immunology, and other major health areas.",129
Creatio,https://www.crunchbase.com/organization/creatioglobal,,"Agentic AI, Artificial Intelligence (AI), Business Process Automation (BPA), Cloud Computing, Cloud Data Services, Finance, Industrial Automation, Marketing Automation, Sales Automation, Software","Boston, Massachusetts, United States",Agentic CRM & Workflow Platform with No-Code and AI at Its Core,146
Socure,https://www.crunchbase.com/organization/socure,,"Artificial Intelligence (AI), Cyber Security, Fraud Detection, Identity Management, Information Services, Information Technology, Machine Learning, Predictive Analytics","Incline Village, Nevada, United States",Socure is a predictive analytics platform for digital identity verification of consumers.,158
GitLab,https://www.crunchbase.com/organization/gitlab-com,,"Cloud Security, Developer Tools, DevOps, Open Source, SaaS","San Francisco, California, United States",GitLab is a web-based Git repository manager that offers a variety of features for software development teams.,159
Voyager Technologies,https://www.crunchbase.com/organization/voyager-space-holdings,,"Aerospace, Infrastructure, Space Travel","Denver, Colorado, United States",Voyager Technologies is a defense and space technology company that develops solutions for national security and commercial space missions.,165
Circle,https://www.crunchbase.com/organization/circle-2,,"Banking, Blockchain, Cryptocurrency, Financial Services","New York, New York, United States",Circle helps businesses and developers utilize stablecoins for payments and online commerce.,173
Deel,https://www.crunchbase.com/organization/deel,,"Bookkeeping and Payroll, Compliance, Human Resources, Recruiting","San Francisco, California, United States","Deel offers a unified platform that supports payroll, HR, compliance, and workforce management across global teams.",189
